Date,Actual,ARIMA_Pred,SARIMA_Pred
2021-01-25 23:59:59,32366.39304887,11880.661079293493,11465.164309200938
2021-01-26 23:59:59,32569.84955679,11880.661079293493,11467.739774007316
2021-01-27 23:59:59,30432.54707881,11880.661079293493,11467.163423129772
2021-01-28 23:59:59,33466.09635821,11880.661079293493,11464.691950597427
2021-01-29 23:59:59,34316.38765032,11880.661079293493,11463.588547194062
2021-01-30 23:59:59,34269.52154165,11880.661079293493,11465.15882159677
2021-01-31 23:59:59,33114.35774753,11880.661079293493,11467.517056213468
2021-02-01 23:59:59,33537.1768196,11880.661079293493,11466.174147437507
2021-02-02 23:59:59,35510.28903716,11880.661079293493,11463.852396442953
2021-02-03 23:59:59,37472.09010368,11880.661079293493,11462.943948865553
2021-02-04 23:59:59,36926.06446515,11880.661079293493,11464.971385533363
2021-02-05 23:59:59,38144.30686267,11880.661079293493,11466.575290393888
2021-02-06 23:59:59,39266.01073494,11880.661079293493,11465.247064096699
2021-02-07 23:59:59,38903.44147971,11880.661079293493,11463.41872463419
2021-02-08 23:59:59,46196.46371944,11880.661079293493,11462.877712865395
2021-02-09 23:59:59,46481.10423596,11880.661079293493,11464.900851577097
2021-02-10 23:59:59,44918.18449192,11880.661079293493,11465.628403389575
2021-02-11 23:59:59,47909.33119483,11880.661079293493,11464.270449518603
2021-02-12 23:59:59,47504.85118326,11880.661079293493,11462.60000752805
2021-02-13 23:59:59,47105.51747252,11880.661079293493,11462.876423061662
2021-02-14 23:59:59,48717.2902111,11880.661079293493,11464.967800238284
2021-02-15 23:59:59,47945.05683234,11880.661079293493,11465.048543912682
2021-02-16 23:59:59,49199.87134362,11880.661079293493,11463.526092445596
2021-02-17 23:59:59,52149.00753587,11880.661079293493,11461.959164141033
2021-02-18 23:59:59,51679.79669449,11880.661079293493,11462.79821290802
2021-02-19 23:59:59,55888.13368221,11880.661079293493,11464.51864303056
2021-02-20 23:59:59,56099.52051348,11880.661079293493,11464.457009525415
2021-02-21 23:59:59,57539.9436679,11880.661079293493,11463.049612840334
2021-02-22 23:59:59,54207.31906543,11880.661079293493,11461.768036753572
2021-02-23 23:59:59,48824.42686909,11880.661079293493,11462.840687925787
2021-02-24 23:59:59,49705.33331637,11880.661079293493,11464.042766546254
2021-02-25 23:59:59,47093.85301914,11880.661079293493,11463.781397786925
2021-02-26 23:59:59,46339.76008289,11880.661079293493,11462.300346632032
2021-02-27 23:59:59,46188.45127539,11880.661079293493,11461.668333367395
2021-02-28 23:59:59,45137.77046805,11880.661079293493,11463.006269511872
2021-03-01 23:59:59,49631.24137077,11880.661079293493,11463.793412152752
2021-03-02 23:59:59,48378.98805435,11880.661079293493,11463.22676955485
2021-03-03 23:59:59,50538.24341445,11880.661079293493,11461.683430640604
2021-03-04 23:59:59,48561.1661539,11880.661079293493,11461.558940357885
2021-03-05 23:59:59,48927.3045548,11880.661079293493,11462.825814843161
2021-03-06 23:59:59,48912.38173056,11880.661079293493,11463.501206889283
2021-03-07 23:59:59,51206.69295308,11880.661079293493,11462.827029582697
2021-03-08 23:59:59,52246.52230995,11880.661079293493,11461.397909101037
2021-03-09 23:59:59,54824.11781138,11880.661079293493,11461.574064252482
